Volcano,Event,Magnitude,VEI,SampleID,SampleObservationID,IGSN,Location,Latitude,Longitude,Authors,DOI,TypeOfRegister,TypeOfAnalysis,AnalyzedMaterial,AnalyticalTechnique,TypeOfSection,SectionID,SubSectionID,SubSection_DistanceFromTop_cm,HistoricalAge,RadiocarbonAge,RadiocarbonAgeError,RadiocarbonLabCode,StratigraphicPosition,Ar40Ar39_Age,Ar40Ar39_Age_Error,DepositColor,DepositThickness_cm,GrainSize_min,GrainSize_max,SiO2,TiO2,Al2O3,FeO,Fe2O3,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cl,LOI,Total,SiO2_normalized,TiO2_normalized,Al2O3_normalized,FeOT_normalized,MnO_normalized,MgO_normalized,CaO_normalized,Na2O_normalized,K2O_normalized,P2O5_normalized,Cl_normalized,Total_normalization,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,La_Yb,Zr_Nb,Sr87_Sr86,Sr87_Sr86_2SE,Nd143_Nd144,Nd143_Nd144_2SE,MeasurementRun,Comments,Flag,FlagDescription
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-14,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,150.0,64.1,421.0,11.4,3.59,805.0,36.2,73.2,9.8,41.2,9.25,1.65,10.3,1.44,10.5,2.23,7.14,0.969,7.88,0.846,12.2,0.788,44.2,10.9,2.64,4.593908629,36.92982456,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-15,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,157.0,65.6,434.0,10.9,3.8,853.0,35.9,76.7,10.9,42.3,8.03,1.62,11.7,1.73,11.2,2.5,6.33,1.32,7.1,1.25,11.0,0.856,37.3,11.5,2.88,5.056338028,39.81651376,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-16,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,147.0,66.9,425.0,11.1,3.68,817.0,36.0,72.8,9.54,39.9,8.52,1.64,11.0,1.75,9.76,2.45,8.25,0.934,6.88,1.24,10.5,1.04,37.9,10.1,2.91,5.23255814,38.28828829,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-17,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,155.0,64.8,425.0,10.6,4.08,812.0,37.4,76.1,9.58,43.0,10.7,1.47,12.4,1.87,11.2,2.28,6.92,0.924,8.36,1.32,12.4,0.662,35.2,11.2,3.2,4.473684211,40.09433962,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-18,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7,151.0,65.1,430.0,11.5,4.08,824.0,36.5,75.6,9.83,43.3,8.52,1.86,10.8,1.7,9.66,2.27,6.79,0.983,7.21,1.2,11.3,0.833,34.0,11.0,2.95,5.062413315,37.39130435,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-19,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,149.0,66.0,430.0,11.7,3.71,870.0,37.2,74.9,9.58,40.7,10.0,1.06,11.0,1.62,11.8,2.46,8.66,0.936,8.6,1.13,11.6,0.796,43.4,11.7,2.86,4.325581395,36.75213675,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-20,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,137.0,64.8,410.0,11.7,3.71,785.0,37.6,69.7,10.2,42.6,11.0,1.3,11.9,1.67,10.7,2.16,5.86,0.902,7.32,1.38,13.0,0.742,37.5,10.3,2.99,5.136612022,35.04273504,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-21,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,151.0,67.6,431.0,11.7,3.5,862.0,38.6,75.4,9.68,42.4,7.65,1.29,10.8,2.08,11.2,2.22,8.08,1.39,7.1,1.01,10.9,0.735,40.8,11.1,2.88,5.436619718,36.83760684,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-22,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,134.0,57.4,375.0,12.5,3.99,900.0,33.7,70.7,9.11,37.9,8.16,1.69,9.1,1.43,10.9,2.28,6.64,1.06,5.79,1.07,11.8,0.706,45.2,10.3,2.84,5.820379965,30.0,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-23,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,124.0,51.4,346.0,10.1,3.32,716.0,28.8,62.7,8.12,33.2,7.85,1.1,7.01,1.51,8.68,1.92,5.32,0.805,6.03,1.23,9.83,0.699,38.5,8.28,2.89,4.776119403,34.25742574,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-24,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,136.0,56.6,361.0,11.0,3.55,829.0,32.3,70.7,9.19,40.1,10.7,0.882,6.19,1.39,9.53,2.27,8.03,0.529,7.56,0.939,9.41,0.829,34.9,9.16,2.36,4.272486772,32.81818182,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-25,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,150.0,65.0,437.0,11.0,3.82,813.0,37.2,75.4,10.4,39.1,10.9,1.8,8.76,1.7,10.6,2.43,7.01,1.16,7.68,1.1,10.3,0.803,35.9,10.8,3.09,4.84375,39.72727273,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-26,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,146.0,62.5,393.0,11.4,3.43,800.0,35.5,71.8,9.05,39.3,10.4,1.83,11.7,1.73,10.0,2.29,7.36,1.04,6.42,1.28,9.44,0.708,42.0,9.96,2.99,5.529595016,34.47368421,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-27,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3,151.0,66.7,439.0,11.9,3.56,816.0,38.4,71.0,9.45,43.4,7.59,1.04,11.0,1.72,10.4,2.2,7.12,1.0,6.98,0.824,11.4,0.39,37.4,10.5,2.49,5.501432665,36.8907563,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-28,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,157.0,66.8,443.0,12.5,3.66,835.0,39.0,77.7,10.7,46.5,10.6,1.43,10.0,1.7,11.2,2.22,6.8,1.03,8.14,1.35,11.1,0.805,47.2,11.3,2.87,4.791154791,35.44,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-31,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,142.0,57.2,382.0,11.1,3.35,775.0,35.0,67.3,9.51,38.2,8.97,1.3,10.8,1.44,10.7,2.38,7.05,1.06,6.07,1.09,10.7,0.789,43.7,10.0,3.04,5.766062603,34.41441441,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-32,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,144.0,63.4,399.0,11.9,3.98,799.0,34.0,72.0,8.73,45.3,7.49,1.37,11.5,1.34,10.5,2.24,6.82,0.978,6.9,1.05,10.5,0.715,41.7,10.8,2.73,4.927536232,33.52941176,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_1,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.101744,0.608048,14.513408,,,,3.93736,0.019936,0.538272,1.59488,4.296208,2.900688,,0.169456,,99.68,71.33,0.61,14.56,3.95,0.02,0.54,1.6,4.31,2.91,,0.17,99.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_10,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,73.097904,0.288492,14.07642,,,,3.203256,0.059688,0.308388,1.313136,4.068732,2.855076,,0.208908,,99.48,73.48,0.29,14.15,3.22,0.06,0.31,1.32,4.09,2.87,,0.21,99.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_11,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.726345,0.450225,14.22711,,,,3.72186,0.130065,0.38019,1.34067,3.731865,3.131565,,0.22011,,100.05,72.68273173,0.449955004,14.21857814,3.719628037,0.129987001,0.379962004,1.339866013,3.729627037,3.129687031,,0.219978002,100.060005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_12,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.94925,0.45425,14.289125,,,,3.545125,0.029625,0.316,1.28375,3.624125,3.051375,,0.1975,,98.75,72.86728673,0.460046005,14.47144714,3.590359036,0.030003,0.320032003,1.300130013,3.670367037,3.090309031,,0.200020002,98.740125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_13,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.070388,0.518492,14.25853,,,,3.659357,0.119652,0.39884,1.445795,4.048226,2.981329,,0.219362,,99.71,72.27277272,0.519948005,14.29857014,3.669633037,0.119988001,0.399960004,1.449855014,4.059594041,2.98970103,,0.219978002,99.719971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_14,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.615474,0.4999,14.227154,,,,3.74925,0.09998,0.439912,1.429714,3.939212,2.779444,,0.209958,,99.98,72.62273773,0.499950005,14.22857714,3.749625037,0.099990001,0.439956004,1.429857014,3.939606039,2.779722028,,0.209979002,99.989998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_16,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,74.45235,0.450296,14.460642,,,,3.571666,0.030702,0.327488,1.320186,4.45179,3.059966,,0.225148,,102.34,72.74272573,0.439956004,14.12858714,3.489651035,0.029997,0.319968003,1.289871013,4.349565043,2.98970103,,0.219978002,102.350234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_19,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.75882,0.59413,14.65185,,,,4.1287,0.06042,0.55385,1.54071,4.3301,2.91023,,0.16112,,100.7,71.26712671,0.590059006,14.55145515,4.100410041,0.060006001,0.550055006,1.530153015,4.300430043,2.890289029,,0.160016002,100.68993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_2,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.96406,0.544266,14.543997,,,,4.0316,0.151185,0.574503,1.652956,4.313812,2.882594,,0.141106,,100.79,71.39286071,0.539946005,14.42855714,3.99960004,0.149985001,0.569943006,1.639836016,4.279572043,2.859714029,,0.139986001,100.800079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,PCC-1_20,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.446572,0.618326,13.992119,,,,4.148768,0.109703,0.49865,1.615626,4.28839,2.832332,,0.189487,,99.73,71.63283672,0.619938006,14.02859714,4.159584042,0.109989001,0.499950005,1.619838016,4.299570043,2.839716028,,0.189981002,99.739973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
